"sampleGroup","caseId","sourceDomain","discipline","rating","reviewStatus","createdAt","sourceUrl"
"国内高校","96e95526-37c7-4eba-b0fd-eea70795df75","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:36.225Z","http://www.news.zju.edu.cn/2025/0712/c764a3069343/page.htm"
"国内高校","21f2c346-d94c-4f5d-8a8b-dfd2ca3f27fe","www.news.zju.edu.cn","材料","0","approved","2026-06-05T03:32:36.797Z","http://www.news.zju.edu.cn/2025/0605/c764a3059077/page.htm"
"国内高校","458380ec-88cf-45ad-ae80-fad47a7c2628","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:40.758Z","http://www.news.zju.edu.cn/2025/0427/c764a3043093/page.htm"
"国内高校","2c5b27b3-1279-4533-b8cb-315c4c9e0b98","www.news.zju.edu.cn","材料","0","approved","2026-06-05T03:32:40.846Z","http://www.news.zju.edu.cn/2025/0411/c764a3036810/page.htm"
"国内高校","129f0542-edeb-4ea6-903c-d950f5800cd0","www.news.zju.edu.cn","化学","0","approved","2026-06-05T03:32:41.162Z","http://www.news.zju.edu.cn/2025/0410/c764a3036516/page.htm"
"国内高校","b181b7bb-9afc-4fe2-ba55-9993618672c7","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:41.841Z","http://www.news.zju.edu.cn/2025/0320/c764a3029148/page.htm"
"国内高校","2eb4ae3d-6db7-45c2-8d35-c00bb17bd8f1","www.news.zju.edu.cn","材料","0","approved","2026-06-05T03:32:42.114Z","http://www.news.zju.edu.cn/2025/0314/c764a3027113/page.htm"
"国内高校","d0fe339e-f5a0-4e68-82d2-4622bdcd17c9","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:42.646Z","http://www.news.zju.edu.cn/2025/0125/c764a3013507/page.htm"
"国内高校","e1671e1e-2735-41a1-80e5-bcd4c9efc88d","www.news.zju.edu.cn","生命科学","0","approved","2026-06-05T03:32:42.900Z","http://www.news.zju.edu.cn/2024/1220/c764a3005339/page.htm"
"国内高校","11b874bc-f3b8-4a38-8153-54e5811948e9","www.tsinghua.edu.cn","生命科学","0","approved","2026-05-29T03:03:15.926Z","https://www.tsinghua.edu.cn/info/1175/126417.htm"
"国内高校","35f21213-7c0d-4a4b-9ed8-f456227a04cb","www.tsinghua.edu.cn","物理","0","approved","2026-05-29T03:03:16.694Z","https://www.tsinghua.edu.cn/info/1175/126352.htm"
"国内高校","548d912f-dba0-4da8-b3df-05d1809ed047","www.tsinghua.edu.cn","材料","0","approved","2026-05-29T03:03:17.451Z","https://www.tsinghua.edu.cn/info/1175/126349.htm"
"国内高校","48cb90e6-0063-4b44-9d31-6777cd2b48a4","www.tsinghua.edu.cn","生命科学","0","approved","2026-05-29T03:03:20.339Z","https://www.tsinghua.edu.cn/info/1175/126252.htm"
"国内高校","8a7f448b-8b52-4cd3-a814-fe13848eb224","www.tsinghua.edu.cn","生命科学","0","approved","2026-05-29T03:03:21.476Z","https://www.tsinghua.edu.cn/info/1175/126107.htm"
"国内高校","8674ca23-5f75-4b13-8afb-a5a55e1e1f33","www.tsinghua.edu.cn","信息科学","0","approved","2026-05-29T03:03:21.818Z","https://www.tsinghua.edu.cn/info/1175/126262.htm"
"国内高校","7b941439-7e68-4e32-9713-43865481db23","www.tsinghua.edu.cn","物理","0","approved","2026-05-29T03:03:22.656Z","https://www.tsinghua.edu.cn/info/1175/126062.htm"
"国内高校","80689317-22b0-4938-8a92-618e52be36cb","www.tsinghua.edu.cn","材料","0","approved","2026-05-29T03:03:24.834Z","https://www.tsinghua.edu.cn/info/1175/126050.htm"
"国内高校","d0f8254e-dd33-415f-9e42-e96913d9e103","www.tsinghua.edu.cn","环境科学","0","approved","2026-05-29T03:03:25.964Z","https://www.tsinghua.edu.cn/info/1175/126020.htm"
"国内高校","81e568aa-eed9-419c-b33b-2946ac03a0e0","www.tsinghua.edu.cn","生命科学","0","approved","2026-05-29T03:03:30.403Z","https://www.tsinghua.edu.cn/info/1175/125986.htm"
"国内高校","0600d8a7-fc76-4964-9f9d-64c63a8badc4","www.tsinghua.edu.cn","工程","0","approved","2026-05-29T03:03:31.083Z","https://www.tsinghua.edu.cn/info/1175/126087.htm"
"国内高校","978eeaa1-2417-4ccd-9df8-15a395258741","www.tsinghua.edu.cn","物理","0","approved","2026-05-29T03:03:32.198Z","https://www.tsinghua.edu.cn/info/1175/125942.htm"
"国内高校","34ac2b24-43e8-4e1b-b10d-d85cb0fe548b","www.tsinghua.edu.cn","工程","0","approved","2026-05-29T03:03:34.368Z","https://www.tsinghua.edu.cn/info/1175/125891.htm"
"国内高校","14282fec-edf7-4ce8-abf8-2c4afca5daa7","www.tsinghua.edu.cn","物理","0","approved","2026-05-29T03:03:35.829Z","https://www.tsinghua.edu.cn/info/1175/125608.htm"
"国内高校","0de3c828-5357-46f2-8329-c2d46dbe0dfc","www.tsinghua.edu.cn","工程","0","approved","2026-05-29T03:03:37.785Z","https://www.tsinghua.edu.cn/info/1175/125452.htm"
"国内高校","23c9e73a-d24f-4cc3-ba83-903a06a0a018","www.tsinghua.edu.cn","信息科学","0","approved","2026-05-29T03:03:40.154Z","https://www.tsinghua.edu.cn/info/1175/125455.htm"
"国内高校","f0adbb9c-9405-4ebb-9bda-a0f6b415de76","www.tsinghua.edu.cn","生命科学","0","approved","2026-05-29T03:03:41.914Z","https://www.tsinghua.edu.cn/info/1175/125450.htm"
"国内高校","226fbad0-33d0-4cc6-868c-13e5f798f52f","www.tsinghua.edu.cn","生命科学","0","approved","2026-05-29T03:03:42.766Z","https://www.tsinghua.edu.cn/info/1175/125354.htm"
"国内高校","d7e5455c-c848-4289-b9ab-422cd29dba72","www.tsinghua.edu.cn","综合交叉","0","approved","2026-05-29T03:03:44.954Z","https://www.tsinghua.edu.cn/info/1175/125184.htm"
"国内高校","30c740bf-975e-4db7-b8e3-011be5fa9825","www.tsinghua.edu.cn","化学","0","approved","2026-05-29T03:03:45.889Z","https://www.tsinghua.edu.cn/info/1175/125549.htm"
"国际研究","7b8827da-6e11-4519-91bd-e4281eb1c7f3","images.nasa.gov","工程","0","approved","2026-05-28T14:19:35.997Z","https://images.nasa.gov/details/international-space-station-mockup-training_52233924879_o"
"国际研究","a3ba5965-964c-4594-a2ee-4aed3afef817","images.nasa.gov","工程","0","approved","2026-05-28T14:19:41.578Z","https://images.nasa.gov/details/com-axiom-suitsshots-20240103-3441"
"国际研究","ff34796e-3067-43bf-be7f-fd688ba1bb01","images.nasa.gov","生命科学","0","approved","2026-05-28T14:19:48.534Z","https://images.nasa.gov/details/GRC-2015-C-08026"
"国际研究","7909f18b-7791-400b-a841-801c39398be1","images.nasa.gov","物理","0","approved","2026-05-28T14:19:51.740Z","https://images.nasa.gov/details/iss040e031397"
"国际研究","19eb03ba-602e-4b17-a744-3b2c3b437e4a","images.nasa.gov","工程","0","approved","2026-05-28T14:19:55.490Z","https://images.nasa.gov/details/PIA11425"
"国际研究","0fd65fac-0154-4a9a-bbe2-7b03149929d5","images.nasa.gov","物理","0","approved","2026-05-28T14:52:56.515Z","https://images.nasa.gov/details/by-the-dozen-nasas-james-webb-space-telescope-mirrors_23607727573_o"
